Rk,Unnamed: 1,Tm,Cap Hit,year
1.0,Drew Brees,NOR,"$26,400,000",2015
2.0,Philip Rivers,SDG,"$21,166,668",2015
3.0,Calvin Johnson,DET,"$20,558,000",2015
4.0,Charles Johnson,CAR,"$20,020,000",2015
5.0,Matt Ryan,ATL,"$19,500,000",2015
6.0,Mario Williams,BUF,"$19,400,000",2015
7.0,Aaron Rodgers,GNB,"$18,250,000",2015
8.0,Matthew Stafford,DET,"$17,721,250",2015
9.0,Peyton Manning,DEN,"$17,500,000",2015
10.0,Ben Roethlisberger,PIT,"$17,245,000",2015
11.0,Robert Quinn,STL,"$16,744,111",2015
12.0,Jay Cutler,CHI,"$16,500,000",2015
13.0,Darrelle Revis,NYJ,"$16,000,000",2015
14.0,Alex Smith,KAN,"$15,600,000",2015
15.0,Adrian Peterson,MIN,"$15,400,000",2015
16.0,Colin Kaepernick,SFO,"$15,265,753",2015
17.0,Tony Romo,DAL,"$14,973,000",2015
18.0,Patrick Peterson,ARI,"$14,791,491",2015
19.0,Calais Campbell,ARI,"$14,750,000",2015
,A.J. Green,CIN,"$14,750,000",2015
21.0,Gerald McCoy,TAM,"$14,595,000",2015
22.0,Joe Flacco,BAL,"$14,550,000",2015
23.0,Eli Manning,NYG,"$14,450,000",2015
24.0,Tom Brady,NWE,"$14,000,000",2015
25.0,J.J. Watt,HOU,"$13,969,000",2015
26.0,Demaryius Thomas,DEN,"$13,200,000",2015
27.0,Rodney Hudson,OAK,"$13,000,000",2015
,Cam Newton,CAR,"$13,000,000",2015
29.0,Sam Bradford,PHI,"$12,985,000",2015
30.0,Brandon Carr,DAL,"$12,717,000",2015
31.0,Clay Matthews,GNB,"$12,700,000",2015
32.0,Jared Allen,2TM,"$12,500,000",2015
,Chris Long,STL,"$12,500,000",2015
34.0,Julio Jones,ATL,"$12,400,000",2015
35.0,Vincent Jackson,TAM,"$12,209,777",2015
36.0,Richard Sherman,SEA,"$12,200,000",2015
37.0,Julius Peppers,GNB,"$12,000,000",2015
38.0,Ryan Kalil,CAR,"$11,795,000",2015
39.0,Johnathan Joseph,HOU,"$11,750,000",2015
40.0,Joe Haden,CLE,"$11,700,000",2015
41.0,D'Brickashaw Ferguson,NYJ,"$11,698,666",2015
42.0,Vontae Davis,IND,"$11,250,000",2015
43.0,Larry Fitzgerald,ARI,"$10,850,000",2015
44.0,Branden Albert,MIA,"$10,725,000",2015
45.0,Trent Williams,WAS,"$10,680,388",2015
46.0,Rob Gronkowski,NWE,"$10,650,000",2015
47.0,Cameron Wake,MIA,"$10,450,000",2015
48.0,Nick Mangold,NYJ,"$10,407,100",2015
49.0,Julius Thomas,JAX,"$10,300,000",2015
50.0,Joe Thomas,CLE,"$10,200,000",2015
51.0,Eric Weddle,SDG,"$10,100,000",2015
52.0,Mike Wallace,MIN,"$9,900,000",2015
53.0,Von Miller,DEN,"$9,754,000",2015
54.0,Pierre Garcon,WAS,"$9,700,000",2015
55.0,Leon Hall,CIN,"$9,600,000",2015
,Andy Dalton,CIN,"$9,600,000",2015
57.0,Duane Brown,HOU,"$9,500,000",2015
58.0,Lawrence Timmons,PIT,"$9,251,250",2015
59.0,DeSean Jackson,WAS,"$9,250,000",2015
,Lardarius Webb,BAL,"$9,250,000",2015
61.0,Matt Forte,CHI,"$9,200,000",2015
62.0,Sam Shields,GNB,"$9,062,500",2015
63.0,Jason Peters,PHI,"$9,050,000",2015
64.0,Jared Odrick,JAX,"$9,000,000",2015
,Brandon Marshall,NYJ,"$9,000,000",2015
,Geno Atkins,CIN,"$9,000,000",2015
67.0,Arian Foster,HOU,"$8,706,250",2015
68.0,Byron Maxwell,PHI,"$8,700,000",2015
,Lorenzo Alexander,OAK,"$8,700,000",2015
70.0,DeMarcus Ware,DEN,"$8,666,666",2015
71.0,Jason McCourty,TEN,"$8,600,000",2015
72.0,Jason Witten,DAL,"$8,512,000",2015
73.0,Jared Veldheer,ARI,"$8,500,000",2015
,Haloti Ngata,DET,"$8,500,000",2015
,Marshawn Lynch,SEA,"$8,500,000",2015
