Rk,Player,Pos,Tm,Cap Hit,year
1.0,Ben Roethlisberger,QB,PIT,"$23,950,000",2016
2.0,Matt Ryan,QB,ATL,"$23,750,000",2016
3.0,Joe Flacco,QB,BAL,"$22,550,000",2016
4.0,Kirk Cousins,QB,WAS,"$19,953,000",2016
5.0,Cam Newton,QB,CAR,"$19,500,000",2016
6.0,Aaron Rodgers,QB,GNB,"$19,250,000",2016
7.0,Justin Houston,LB,KAN,"$19,100,000",2016
8.0,Andrew Luck,QB,IND,"$18,400,000",2016
9.0,Sam Bradford,QB,MIN,"$18,000,000",2016
10.0,Alex Smith,QB,KAN,"$17,800,000",2016
11.0,Eli Manning,QB,NYG,"$17,500,000",2016
12.0,Matthew Stafford,QB,DET,"$17,000,000",2016
,Darrelle Revis,DB,NYJ,"$17,000,000",2016
,Jay Cutler,QB,CHI,"$17,000,000",2016
15.0,Philip Rivers,QB,SDG,"$16,500,000",2016
16.0,Julio Jones,WR,ATL,"$15,900,000",2016
17.0,Demaryius Thomas,WR,DEN,"$15,200,000",2016
18.0,Lawrence Timmons,LB,PIT,"$15,131,250",2016
19.0,Alshon Jeffery,WR,CHI,"$14,599,000",2016
20.0,Trumaine Johnson,CB,LAR,"$13,952,000",2016
21.0,Clay Matthews,LB,GNB,"$13,750,000",2016
22.0,Joe Haden,DB,CLE,"$13,400,000",2016
23.0,Kelechi Osemele,T,OAK,"$13,200,000",2016
24.0,Andy Dalton,QB,CIN,"$13,100,000",2016
25.0,A.J. Green,WR,CIN,"$13,000,000",2016
26.0,Ndamukong Suh,DT,MIA,"$12,600,000",2016
27.0,Richard Sherman,DB,SEA,"$12,569,000",2016
28.0,Bruce Irvin,DE,OAK,"$12,500,000",2016
29.0,Jeremy Maclin,WR,KAN,"$12,400,000",2016
30.0,Russell Wilson,QB,SEA,"$12,342,000",2016
31.0,Brock Osweiler,QB,HOU,"$12,000,000",2016
,Sam Shields,DB,GNB,"$12,000,000",2016
