,Date,SB,Attendance,QB  Winner,Coach Winner,Winner,Winning Pts,QB Loser,Coach Loser,Loser,Losing Pts,MVP,Stadium,City,State,Point Difference
0,15-Jan-67,I,61946,Bart Starr,Vince Lombardi,Green Bay Packers,35,Len Dawson,Hank Stram,Kansas City Chiefs,10,Bart Starr,Memorial Coliseum,Los Angeles,California,25
1,14-Jan-68,II,75546,Bart Starr,Vince Lombardi,Green Bay Packers,33,Daryle Lamonica ,John Rauch,Oakland Raiders,14,Bart Starr,Orange Bowl,Miami,Florida,19
2,12-Jan-69,III,75389,Joe Namath,Weeb Ewbank,New York Jets,16,"Earl Morrall, Johnny Unitas",Don Shula,Baltimore Colts,7,Joe Namath,Orange Bowl,Miami,Florida,9
3,11-Jan-70,IV,80562,"Len Dawson, Mike Livingston",Hank Stram,Kansas City Chiefs,23,Joe Kapp,Bud Grant,Minnesota Vikings,7,Len Dawson,Tulane Stadium,New Orleans,Louisiana,16
4,17-Jan-71,V,79204,"Earl Morrall , Johnny Unitas",Don McCafferty,Baltimore Colts,16,Craig Morton,Tom Landry,Dallas Cowboys,13,Chuck Howley,Orange Bowl,Miami,Florida,3
5,16-Jan-72,VI,81023,Roger Staubach,Tom Landry,Dallas Cowboys,24,Bob Griese,Don Shula,Miami Dolphins,3,Roger Staubach,Tulane Stadium,New Orleans,Louisiana,21
6,14-Jan-73,VII,90182,Bob Griese,Don Shula,Miami Dolphins,14,Bill Kilmer,George Allen,Washington Redskins,7,Jake Scott,Memorial Coliseum,Los Angeles,California,7
7,13-Jan-74,VIII,71882,Bob Griese,Don Shula,Miami Dolphins,24,Fran Tarkenton,Bud Grant,Minnesota Vikings,7,Larry Csonka,Rice Stadium,Houston,Texas,17
8,12-Jan-75,IX,80997,Terry Bradshaw,Chuck Noll ,Pittsburgh Steelers,16,Fran Tarkenton,Bud Grant,Minnesota Vikings,6,Franco Harris,Tulane Stadium,New Orleans,Louisiana,10
9,18-Jan-76,X,80187,Terry Bradshaw,Chuck Noll ,Pittsburgh Steelers,21,Roger Staubach,Tom Landry,Dallas Cowboys,17,Lynn Swann,Orange Bowl,Miami,Florida,4
10,9-Jan-77,XI,103438,Kenny Stabler,John Madden,Oakland Raiders,32,Fran Tarkenton,Bud Grant,Minnesota Vikings,14,Fred Biletnikoff,Rose Bowl,Pasadena,California,18
11,15-Jan-78,XII,76400,Roger Staubach,Tom Landry,Dallas Cowboys,27,Craig Morton,Red Miller,Denver Broncos,10,"Harvey Martin, Randy White",Superdome,New Orleans,Louisiana,17
12,21-Jan-79,XIII,79484,Terry Bradshaw,Chuck Noll,Pittsburgh Steelers,35,Roger Staubach,Tom Landry,Dallas Cowboys,31,Terry Bradshaw,Orange Bowl,Miami,Florida,4
13,20-Jan-80,XIV,103985,Terry Bradshaw,Chuck Noll,Pittsburgh Steelers,31,Vince Ferragamo,Ray Malavasi,Los Angeles Rams,19,Terry Bradshaw,Rose Bowl,Pasadena,California,12
14,25-Jan-81,XV,76135,Jim Plunkett,Tom Flores,Oakland Raiders,27,Ron Jaworski,Dick Vermeil,Philadelphia Eagles,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana,17
15,24-Jan-82,XVI,81270,Joe Montana,Bill Walsh,San Francisco 49ers,26,Ken Anderson,Forrest Gregg,Cincinnati Bengals,21,Joe Montana,Pontiac Silverdome,Pontiac,Michigan,5
16,30-Jan-83,XVII,103667,Joe Theismann,Joe Gibbs,Washington Redskins,27,David Woodley,Don Shula,Miami Dolphins,17,John Riggins,Rose Bowl,Pasadena,California,10
17,22-Jan-84,XVIII,72920,Jim Plunkett,Tom Flores,Los Angeles Raiders,38,Joe Theismann,Joe Gibbs,Washington Redskins,9,Marcus Allen,Tampa Stadium,Tampa,Florida,29
18,20-Jan-85,XIX,84059,Joe Montano,Bill Walsh,San Francisco 49ers,38,Dan Marino,Don Shula,Miami Dolphins,16,Joe Montana,Stanford Stadium,Palo Alto,California,22
19,26-Jan-86,XX,73818,Jim McMahon,Mike Ditka,Chicago Bears,46,"Tony Eason, Steve Grogan",Raymond Berry,New England Patriots,10,Richard Dent,Louisiana Superdome,New Orleans,Louisiana,36
20,25-Jan-87,XXI,101063,Phil Simms,Bill Parcells,New York Giants,39,John Elway,Dan Reeves,Denver Broncos,20,Phil Simms,Rose Bowl,Pasadena,California,19
21,31-Jan-88,XXII,73302,Doug Williams,Joe Gibbs_,Washington Redskins,42,John Elway,Dan Reeves_,Denver Broncos,10,Doug Williams,Jack Murphy Stadium,San Diego,California,32
22,22-Jan-89,XXIII,75129,Joe Montana,Bill Walsh_,San Francisco 49ers,20,Boomer Esiason,Sam Wyche,Cincinnati Bengals,16,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,4
23,28-Jan-90,XXIV,72919,Joe Montana,George Seifert,San Francisco 49ers,55,John Elway,Dan Reeves_,Denver Broncos,10,Joe Montana,Louisiana Superdome,New Orleans,Louisiana,45
24,27-Jan-91,XXV,73813,Jeff Hostetler,Bill Parcells_,New York Giants,20,Jim Kelly,Marv Levy,Buffalo Bills,19,Ottis Anderson,Tampa Stadium,Tampa,Florida,1
25,26-Jan-92,XXVI,63130,Mark Rypien,Joe Gibbs_,Washington Redskins,37,Jim Kelly,Marv Levy_,Buffalo Bills,24,Mark Rypien,Metrodome,Minneapolis,Minnesota,13
26,31-Jan-93,XXVII,98374,Troy Aikman,Jimmy Johnson,Dallas Cowboys,52,"Jim Kelly, Frank Reich",Marv Levy_,Buffalo Bills,17,Troy Aikman,Rose Bowl,Pasadena,California,35
27,30-Jan-94,XXVIII,72817,Troy Aikman,Jimmy Johnson_,Dallas Cowboys,30,Jim Kelly,Marv Levy_,Buffalo Bills,13,Emmitt Smith,Georgia Dome,Atlanta,Georgia,17
28,29-Jan-95,XXIX,74107,Steve Young,George Seifert_,San Francisco 49ers,49,Stan Humphreys,Bobby Ross,San Diego Chargers,26,Steve Young,Joe Robbie Stadium,Miami Gardens,Florida,23
29,28-Jan-96,XXX,76347,Troy Aikman,Barry Switzer,Dallas Cowboys,27,Neil O'Donnell,Bill Cowher,Pittsburgh Steelers,17,Larry Brown,Sun Devil Stadium,Tempe,Arizona,10
30,26-Jan-97,XXXI,72301,Brett Favre,Mike Holmgren,Green Bay Packers,35,Drew Bledsoe,Bill Parcells,New England Patriots,21,Desmond Howard,Louisiana Superdome,New Orleans,Louisiana,14
31,25-Jan-98,XXXII,68912,John Elway,Mike Shanahan,Denver Broncos,31,Brett Favre,Mike Holmgren,Green Bay Packers,24,Terrell Davis,Qualcomm Stadium,San Diego,California,7
32,31-Jan-99,XXXIII,74803,John Elway,Mike Shanahan_,Denver Broncos,34,Chris Chandler,Dan Reeves_,Atlanta Falcons,19,John Elway,Pro Player Stadium,Miami Gardens,Florida,15
33,30-Jan-00,XXXIV,72625,Kurt Warner,Dick Vermeil,St. Louis Rams,23,Steve McNair,Jeff Fisher,Tennessee Titans,16,Kurt Warner,Georgia Dome,Atlanta,Georgia,7
34,28-Jan-01,XXXV,71921,Trent Dilfer,Brian Billick,Baltimore Ravens,34,Kerry Collins,Jim Fassel,New York Giants,7,Ray Lewis,Raymond James Stadium,Tampa,Florida,27
35,3-Feb-02,XXXVI,72922,Tom Brady,Bill Belichick,New England Patriots,20,Kurt Warner,Mike Martz,St. Louis Rams,17,Tom Brady,Louisiana Superdome,New Orleans,Louisiana,3
36,26-Jan-03,XXXVII,67603,Brad Johnson,Jon Gruden,Tampa Bay Buccaneers,48,Rich Gannon,Bill Callahan,Oakland Raiders,21,Dexter Jackson,Qualcomm Stadium,San Diego,California,27
37,1-Feb-04,XXXVIII,71525,Tom Brady,Bill Belichick_,New England Patriots,32,Jake Delhomme,John Fox,Carolina Panthers,29,Tom Brady,Reliant Stadium,Houston,Texas,3
38,6-Feb-05,XXXIX,78125,Tom Brady,Bill Belichick_,New England Patriots,24,Donovan McNabb,Andy Reid,Philadelphia Eagles,21,Deion Branch,Alltel Stadium,Jacksonville,Florida,3
