Year,Attendance,TV Viewers,Streaming,Spanish,Out Of Home,Total
1967,137492,51180000,0,0,0,51317492
1968,75546,39120000,0,0,0,39195546
1969,75389,41660000,0,0,0,41735389
1970,80562,44270000,0,0,0,44350562
1971,79204,46040000,0,0,0,46119204
1972,81023,56640000,0,0,0,56721023
1973,90182,53320000,0,0,0,53410182
1974,71882,51700000,0,0,0,51771882
1975,80997,56050000,0,0,0,56130997
1976,80187,57710000,0,0,0,57790187
1977,103438,62050000,0,0,0,62153438
1978,76400,78940000,0,0,0,79016400
1979,79484,74740000,0,0,0,74819484
1980,103985,76240000,0,0,0,76343985
1981,76135,68290000,0,0,0,68366135
1982,81270,85240000,0,0,0,85321270
1983,103667,81770000,0,0,0,81873667
1984,72920,77620000,0,0,0,77692920
1985,84059,85530000,0,0,0,85614059
1986,73818,92570000,0,0,0,92643818
1987,101063,87190000,0,0,0,87291063
1988,73302,80140000,0,0,0,80213302
1989,75129,81590000,0,0,0,81665129
1990,72919,73850000,0,0,0,73922919
1991,73813,79510000,0,0,0,79583813
1992,63130,79590000,0,0,0,79653130
1993,98374,90990000,0,0,0,91088374
1994,72817,90000000,0,0,0,90072817
1995,74107,83420000,0,0,0,83494107
1996,76347,94080000,0,0,0,94156347
1997,72301,87870000,0,0,0,87942301
1998,68912,90000000,0,0,0,90068912
1999,74803,83720000,0,0,0,83794803
2000,72625,88470000,0,0,0,88542625
2001,71921,84340000,0,0,0,84411921
2002,72922,86800000,0,0,0,86872922
2003,67603,88640000,0,0,0,88707603
2004,71525,89800000,0,0,0,89871525
2005,78125,86070000,0,0,0,86148125
2006,68206,90750000,0,0,0,90818206
2007,74512,93180000,0,0,0,93254512
2008,71101,97450000,0,0,0,97521101
2009,70774,98730000,0,0,0,98800774
2010,74059,106480000,0,0,0,106554059
2011,103219,111010000,0,0,0,111113219
2012,68658,111350000,346000,0,0,111764658
2013,71024,108690000,508000,0,0,109269024
2014,82529,112190000,531000,561000,0,113364529
2015,70288,114440000,973000,368000,0,115851288
2016,71088,111860000,1400000,472000,0,113803088
2017,70807,111320000,1720000,650000,0,113760807
2018,67612,103390000,2020000,543000,12000000,118020612
2019,70081,98190000,2600000,473000,12000000,113333081
2020,62417,100450000,3400000,757000,13000000,117669417
