Rk,Player,Pos,Tm,City,Cap Hit,year
1,Drew Brees,,NOR,New Orleans,26400000,2015
2,Philip Rivers,,SDG,San Diego,21166668,2015
3,Calvin Johnson,,DET,Detroit,20558000,2015
4,Charles Johnson,,CAR,Carolina,20020000,2015
5,Matt Ryan,,ATL,Atlanta,19500000,2015
6,Mario Williams,,BUF,Buffalo,19400000,2015
7,Aaron Rodgers,,GNB,Green Bay,18250000,2015
8,Matthew Stafford,,DET,Detroit,17721250,2015
9,Peyton Manning,,DEN,Denver,17500000,2015
10,Ben Roethlisberger,,PIT,Pittsburgh,17245000,2015
11,Robert Quinn,,STL,St. Louis,16744111,2015
12,Jay Cutler,,CHI,Chicago,16500000,2015
13,Darrelle Revis,,NYJ,NY Jets,16000000,2015
14,Alex Smith,,KAN,Kansas City,15600000,2015
15,Adrian Peterson,,MIN,Minnesota,15400000,2015
16,Colin Kaepernick,,SFO,San Francisco,15265753,2015
17,Tony Romo,,DAL,Dallas,14973000,2015
18,Patrick Peterson,,ARI,Arizona,14791491,2015
19,Calais Campbell,,ARI,Arizona,14750000,2015
,A.J. Green,,CIN,Cincinnati,14750000,2015
21,Gerald McCoy,,TAM,Tampa,14595000,2015
22,Joe Flacco,,BAL,Baltimore,14550000,2015
23,Eli Manning,,NYG,NY Giants,14450000,2015
24,Tom Brady,,NWE,New England,14000000,2015
25,J.J. Watt,,HOU,Houston,13969000,2015
26,Demaryius Thomas,,DEN,Denver,13200000,2015
27,Rodney Hudson,,OAK,Oakland,13000000,2015
,Cam Newton,,CAR,Carolina,13000000,2015
29,Sam Bradford,,PHI,Philadelphia,12985000,2015
30,Brandon Carr,,DAL,Dallas,12717000,2015
31,Clay Matthews,,GNB,Green Bay,12700000,2015
32,Jared Allen,,2TM,#N/A,12500000,2015
,Chris Long,,STL,St. Louis,12500000,2015
34,Julio Jones,,ATL,Atlanta,12400000,2015
35,Vincent Jackson,,TAM,Tampa,12209777,2015
36,Richard Sherman,,SEA,Seattle,12200000,2015
37,Julius Peppers,,GNB,Green Bay,12000000,2015
38,Ryan Kalil,,CAR,Carolina,11795000,2015
39,Johnathan Joseph,,HOU,Houston,11750000,2015
40,Joe Haden,,CLE,Cleveland,11700000,2015
41,D'Brickashaw Ferguson,,NYJ,NY Jets,11698666,2015
42,Vontae Davis,,IND,Indianapolis,11250000,2015
43,Larry Fitzgerald,,ARI,Arizona,10850000,2015
44,Branden Albert,,MIA,Miami,10725000,2015
45,Trent Williams,,WAS,Washington,10680388,2015
46,Rob Gronkowski,,NWE,New England,10650000,2015
47,Cameron Wake,,MIA,Miami,10450000,2015
48,Nick Mangold,,NYJ,NY Jets,10407100,2015
49,Julius Thomas,,JAX,Jacksonville,10300000,2015
50,Joe Thomas,,CLE,Cleveland,10200000,2015
51,Eric Weddle,,SDG,San Diego,10100000,2015
52,Mike Wallace,,MIN,Minnesota,9900000,2015
53,Von Miller,,DEN,Denver,9754000,2015
54,Pierre Garcon,,WAS,Washington,9700000,2015
55,Leon Hall,,CIN,Cincinnati,9600000,2015
,Andy Dalton,,CIN,Cincinnati,9600000,2015
57,Duane Brown,,HOU,Houston,9500000,2015
58,Lawrence Timmons,,PIT,Pittsburgh,9251250,2015
59,DeSean Jackson,,WAS,Washington,9250000,2015
,Lardarius Webb,,BAL,Baltimore,9250000,2015
61,Matt Forte,,CHI,Chicago,9200000,2015
62,Sam Shields,,GNB,Green Bay,9062500,2015
63,Jason Peters,,PHI,Philadelphia,9050000,2015
64,Jared Odrick,,JAX,Jacksonville,9000000,2015
,Brandon Marshall,,NYJ,NY Jets,9000000,2015
,Geno Atkins,,CIN,Cincinnati,9000000,2015
67,Arian Foster,,HOU,Houston,8706250,2015
68,Byron Maxwell,,PHI,Philadelphia,8700000,2015
,Lorenzo Alexander,,OAK,Oakland,8700000,2015
70,DeMarcus Ware,,DEN,Denver,8666666,2015
71,Jason McCourty,,TEN,Tennessee,8600000,2015
72,Jason Witten,,DAL,Dallas,8512000,2015
73,Jared Veldheer,,ARI,Arizona,8500000,2015
,Haloti Ngata,,DET,Detroit,8500000,2015
,Marshawn Lynch,,SEA,Seattle,8500000,2015
76,Marshal Yanda,,BAL,Baltimore,8450000,2015
77,Antonio Gates,,SDG,San Diego,8374264,2015
78,Eric Berry,,KAN,Kansas City,8357700,2015
79,Jared Cook,,STL,St. Louis,8300441,2015
80,Jonathan Stewart,,CAR,Carolina,8300000,2015
81,Rodger Saffold,,STL,St. Louis,8250000,2015
82,Paul Kruger,,CLE,Cleveland,8200000,2015
,Everson Griffen,,MIN,Minnesota,8200000,2015
84,Michael Griffin,,TEN,Tennessee,8100000,2015
85,Jermon Bushrod,,CHI,Chicago,8050000,2015
86,Dan Williams,,OAK,Oakland,8000000,2015
,Alex Mack,,CLE,Cleveland,8000000,2015
,Jimmy Graham,,SEA,Seattle,8000000,2015
,Cliff Avril,,SEA,Seattle,8000000,2015
,Jermey Parnell,,JAX,Jacksonville,8000000,2015
,Michael Bennett,,SEA,Seattle,8000000,2015
92,Corey Liuget,,SDG,San Diego,7977000,2015
93,Jamaal Charles,,KAN,Kansas City,7970835,2015
94,Brian Cushing,,HOU,Houston,7891250,2015
95,Marcell Dareus,,BUF,Buffalo,7823530,2015
96,Reshad Jones,,MIA,Miami,7712942,2015
97,Eugene Monroe,,BAL,Baltimore,7700000,2015
98,NaVorro Bowman,,SFO,San Francisco,7654000,2015
99,Thomas Davis,,CAR,Carolina,7650000,2015
100,Joe Staley,,SFO,San Francisco,7600000,2015
101,T.J. Ward,,DEN,Denver,7514705,2015
102,Andre Johnson,,IND,Indianapolis,7500000,2015
,David Harris,,NYJ,NY Jets,7500000,2015
104,Robert Mathis,,IND,Indianapolis,7470586,2015
105,Kareem Jackson,,HOU,Houston,7453125,2015
106,Anthony Castonzo,,IND,Indianapolis,7438000,2015
107,Earl Thomas,,SEA,Seattle,7400000,2015
108,Elvis Dumervil,,BAL,Baltimore,7375000,2015
,Carson Palmer,,ARI,Arizona,7375000,2015
110,Jason Pierre-Paul,,NYG,NY Giants,7350000,2015
111,Russell Okung,,SEA,Seattle,7280000,2015
112,Dominique Rodgers-Cromartie,,NYG,NY Giants,7250000,2015
113,Rey Maualuga,,CIN,Cincinnati,7137500,2015
114,Antonio Brown,,PIT,Pittsburgh,7120833,2015
115,Ahmad Brooks,,SFO,San Francisco,7055000,2015
116,Russell Wilson,,SEA,Seattle,7054868,2015
117,Andrew Luck,,IND,Indianapolis,7034363,2015
118,Sebastian Vollmer,,NWE,New England,7020833,2015
119,Logan Mankins,,TAM,Tampa,7000000,2015
,Connor Barwin,,PHI,Philadelphia,7000000,2015
,Desmond Bryant,,CLE,Cleveland,7000000,2015
,Mike Pouncey,,MIA,Miami,7000000,2015
,Sean Smith,,KAN,Kansas City,7000000,2015
,Josh Sitton,,GNB,Green Bay,7000000,2015
,Dez Bryant,,DAL,Dallas,7000000,2015
,Jahri Evans,,NOR,New Orleans,7000000,2015
,Antonio Cromartie,,NYJ,NY Jets,7000000,2015
128,Lamarr Houston,,CHI,Chicago,6990000,2015
129,Cortez Allen,,PIT,Pittsburgh,6981000,2015
130,Muhammad Wilkerson,,NYJ,NY Jets,6969000,2015
131,Aqib Talib,,DEN,Denver,6968750,2015
132,Vernon Davis,,2TM,#N/A,6967920,2015
133,Trent Cole,,IND,Indianapolis,6953125,2015
134,Kyle Williams,,BUF,Buffalo,6950000,2015
135,Anquan Boldin,,SFO,San Francisco,6909000,2015
136,Prince Amukamara,,NYG,NY Giants,6898000,2015
137,Paul Posluszny,,JAX,Jacksonville,6885416,2015
138,Donte Whitner,,CLE,Cleveland,6750000,2015
139,Jurrell Casey,,TEN,Tennessee,6720000,2015
140,Mike Iupati,,ARI,Arizona,6700000,2015
141,Pernell McPhee,,CHI,Chicago,6675000,2015
142,Eric Wood,,BUF,Buffalo,6650000,2015
143,Davon House,,JAX,Jacksonville,6500000,2015
,Tramon Williams,,CLE,Cleveland,6500000,2015
,Marques Colston,,NOR,New Orleans,6500000,2015
,Eric Decker,,NYJ,NY Jets,6500000,2015
,Curtis Lofton,,OAK,Oakland,6500000,2015
148,Kyle Rudolph,,MIN,Minnesota,6440625,2015
149,Cameron Heyward,,PIT,Pittsburgh,6400000,2015
,Austin Howard,,OAK,Oakland,6400000,2015
151,Andre Smith,,CIN,Cincinnati,6362500,2015
152,Greg Olsen,,CAR,Carolina,6300000,2015
153,Matt Kalil,,MIN,Minnesota,6290644,2015
154,Louis Vasquez,,DEN,Denver,6250000,2015
155,Ryan Kerrigan,,WAS,Washington,6238000,2015
156,Andrew Whitworth,,CIN,Cincinnati,6200000,2015
157,Jerry Hughes,,BUF,Buffalo,6175000,2015
158,Martellus Bennett,,CHI,Chicago,6125000,2015
159,Lavonte David,,TAM,Tampa,6104642,2015
160,Jerod Mayo,,NWE,New England,6100000,2015
,Ndamukong Suh,,MIA,Miami,6100000,2015
162,Eric Fisher,,KAN,Kansas City,6051954,2015
163,Brandon Graham,,PHI,Philadelphia,6000000,2015
,Devin McCourty,,NWE,New England,6000000,2015
165,Emmanuel Sanders,,DEN,Denver,5850000,2015
166,Greg Toler,,IND,Indianapolis,5833334,2015
167,T.J. Lang,,GNB,Green Bay,5800000,2015
,Stephen Tulloch,,DET,Detroit,5800000,2015
169,Luke Joeckel,,JAX,Jacksonville,5782254,2015
170,D'Qwell Jackson,,IND,Indianapolis,5750000,2015
171,Brandon Mebane,,SEA,Seattle,5700000,2015
172,Malcolm Jenkins,,PHI,Philadelphia,5666666,2015
173,Brian Robison,,MIN,Minnesota,5650000,2015
,Kam Chancellor,,SEA,Seattle,5650000,2015
175,Nate Solder,,NWE,New England,5604666,2015
176,Lance Kendricks,,STL,St. Louis,5600000,2015
177,Chad Greenway,,MIN,Minnesota,5575000,2015
178,Jairus Byrd,,NOR,New Orleans,5500000,2015
,LeSean McCoy,,BUF,Buffalo,5500000,2015
,Eddie Royal,,CHI,Chicago,5500000,2015
,Karlos Dansby,,CLE,Cleveland,5500000,2015
182,Donald Butler,,SDG,San Diego,5480000,2015
183,Sean Lee,,DAL,Dallas,5450000,2015
184,Sen'Derrick Marks,,JAX,Jacksonville,5425000,2015
185,Donald Penn,,OAK,Oakland,5400000,2015
