Rk,Player,Pos,Tm,Cap Hit
1.0,Kirk Cousins,QB,WAS,"$23,943,600"
2.0,Trumaine Johnson,CB,LAR,"$16,742,400"
3.0,Von Miller,LB,DEN,"$16,500,000"
,Josh Norman,CB,WAS,"$16,500,000"
5.0,Justin Houston,LB,KAN,"$16,350,000"
6.0,Matt Ryan,QB,ATL,"$15,750,000"
7.0,Carson Palmer,QB,ARI,"$15,500,000"
8.0,Muhammad Wilkerson,DT,NYJ,"$14,750,000"
9.0,Sam Bradford,QB,MIN,"$14,000,000"
10.0,Malik Jackson,DT,JAX,"$13,500,000"
11.0,Gerald McCoy,DT,TAM,"$13,250,000"
12.0,Cam Newton,QB,CAR,"$13,166,666"
13.0,Andy Dalton,QB,CIN,"$13,100,000"
14.0,Drew Brees,QB,NOR,"$13,000,000"
,Dez Bryant,WR,DAL,"$13,000,000"
,Eli Manning,QB,NYG,"$13,000,000"
17.0,Janoris Jenkins,CB,NYG,"$12,900,000"
18.0,Ezekiel Ansah,DE,DET,"$12,734,000"
19.0,Russell Wilson,QB,SEA,"$12,600,000"
20.0,Aaron Rodgers,QB,GNB,"$12,550,000"
21.0,Le'Veon Bell,RB,PIT,"$12,120,000"
22.0,Ben Roethlisberger,QB,PIT,"$12,000,000"
23.0,Olivier Vernon,DE,NYG,"$11,750,000"
24.0,Julio Jones,WR,ATL,"$11,500,000"
25.0,Richard Sherman,DB,SEA,"$11,431,000"
26.0,Trent Williams,T,WAS,"$11,250,000"
27.0,Larry Fitzgerald,WR,ARI,"$11,000,000"
,Aqib Talib,DB,DEN,"$11,000,000"
,Philip Rivers,QB,LAC,"$11,000,000"
30.0,Alex Smith,QB,KAN,"$10,800,000"
31.0,J.J. Watt,DE,HOU,"$10,500,000"
32.0,A.J. Green,WR,CIN,"$10,300,000"
33.0,Clay Matthews,LB,GNB,"$10,100,000"
34.0,Ndamukong Suh,DT,MIA,"$9,985,000"
35.0,Marcell Dareus,DT,2TM,"$9,750,000"
,Patrick Peterson,CB,ARI,"$9,750,000"
37.0,Duane Brown,G,2TM,"$9,400,000"
38.0,Vontae Davis,DB,IND,"$9,000,000"
,Calais Campbell,DE,JAX,"$9,000,000"
,Cordy Glenn,T,BUF,"$9,000,000"
41.0,Justin Pugh,OG,NYG,"$8,821,000"
42.0,Joe Thomas,T,CLE,"$8,800,000"
43.0,Damon Harrison,DT,NYG,"$8,750,000"
44.0,Randall Cobb,WR,GNB,"$8,600,000"
45.0,Byron Maxwell,DB,2TM,"$8,500,000"
,Demaryius Thomas,WR,DEN,"$8,500,000"
,Earl Thomas,DB,SEA,"$8,500,000"
48.0,Alec Ogletree,OLB,LAR,"$8,369,000"
49.0,Joe Staley,T,SFO,"$8,250,000"
,Jordy Nelson,WR,GNB,"$8,250,000"
,Ryan Kerrigan,DE,WAS,"$8,250,000"
52.0,Sheldon Richardson,DT,SEA,"$8,069,000"
53.0,Xavier Rhodes,CB,MIN,"$8,026,000"
54.0,Corey Liuget,DT,LAC,"$8,000,000"
