Rk,Player,Pos,Tm,Salary,year
1.0,Kirk Cousins,QB,MIN,"$27,500,000",2019
2.0,Marcus Mariota,QB,TEN,"$20,922,000",2019
,Jameis Winston,QB,TAM,"$20,922,000",2019
4.0,Derek Carr,QB,OAK,"$19,900,000",2019
5.0,Joe Flacco,QB,DEN,"$18,500,000",2019
6.0,Jimmy Garoppolo,QB,SFO,"$17,200,000",2019
7.0,Von Miller,LB,DEN,"$17,000,000",2019
,Melvin Ingram,DE,LAC,"$17,000,000",2019
,Mike Evans,WR,TAM,"$17,000,000",2019
10.0,Odell Beckham,WR,CLE,"$16,750,000",2019
11.0,Chandler Jones,DE,ARI,"$16,500,000",2019
12.0,Cam Newton,QB,CAR,"$16,200,000",2019
13.0,Andy Dalton,QB,CIN,"$16,000,000",2019
14.0,Jadeveon Clowney,DE,SEA,"$15,967,200",2019
15.0,Olivier Vernon,DE,CLE,"$15,250,000",2019
16.0,Grady Jarrett,DT,ATL,"$15,209,000",2019
17.0,Antonio Brown,WR,NWE,"$14,625,000",2019
18.0,Taylor Lewan,OT,TEN,"$14,500,000",2019
19.0,Leonard Williams,DT,2TM,"$14,200,000",2019
20.0,Tom Brady,QB,NWE,"$14,000,000",2019
21.0,Amari Cooper,WR,DAL,"$13,924,000",2019
22.0,Jason Pierre-Paul,DE,TAM,"$13,650,000",2019
23.0,Matthew Stafford,QB,DET,"$13,500,000",2019
24.0,Reshad Jones,DB,MIA,"$13,015,000",2019
25.0,Russell Okung,T,LAC,"$13,000,000",2019
,J.J. Watt,DE,HOU,"$13,000,000",2019
,Andrew Norwell,G,JAX,"$13,000,000",2019
,A.J. Bouye,CB,JAX,"$13,000,000",2019
,T.Y. Hilton,WR,IND,"$13,000,000",2019
30.0,Nate Solder,T,NYG,"$12,900,000",2019
31.0,Vic Beasley,OLB,ATL,"$12,810,000",2019
32.0,Darius Slay,CB,DET,"$12,550,000",2019
33.0,Brandon Scherff,G,WAS,"$12,525,000",2019
34.0,Kawann Short,DT,CAR,"$12,500,000",2019
,Jarvis Landry,WR,CLE,"$12,500,000",2019
,DeAndre Hopkins,WR,HOU,"$12,500,000",2019
37.0,Calais Campbell,DE,JAX,"$12,000,000",2019
38.0,Sammy Watkins,WR,KAN,"$11,950,000",2019
39.0,Alshon Jeffery,WR,PHI,"$11,750,000",2019
40.0,Eli Manning,QB,NYG,"$11,500,000",2019
41.0,Patrick Peterson,CB,ARI,"$11,000,000",2019
,Larry Fitzgerald,WR,ARI,"$11,000,000",2019
,Josh Norman,CB,WAS,"$11,000,000",2019
,Philip Rivers,QB,LAC,"$11,000,000",2019
45.0,Terron Armstead,OT,NOR,"$10,700,000",2019
46.0,Jurrell Casey,DL,TEN,"$10,550,000",2019
47.0,Malcolm Butler,CB,TEN,"$10,500,000",2019
,Bobby Wagner,ILB,SEA,"$10,500,000",2019
,Ryan Kerrigan,DE,WAS,"$10,500,000",2019
50.0,Xavier Rhodes,CB,MIN,"$10,400,000",2019
51.0,Eric Fisher,OT,KAN,"$10,350,000",2019
52.0,Emmanuel Sanders,WR,2TM,"$10,250,000",2019
,Andrew Whitworth,T,LAR,"$10,250,000",2019
54.0,Janoris Jenkins,CB,2TM,"$10,150,000",2019
55.0,Luke Kuechly,ILB,CAR,"$10,000,059",2019
56.0,Ryan Jensen,T,TAM,"$10,000,000",2019
,Kevin Zeitler,G,NYG,"$10,000,000",2019
,Keenan Allen,WR,LAC,"$10,000,000",2019
,Tyron Smith,OT,DAL,"$10,000,000",2019
,Zack Martin,G,DAL,"$10,000,000",2019
,Joe Haden,DB,PIT,"$10,000,000",2019
62.0,Allen Robinson,WR,CHI,"$9,900,000",2019
63.0,Lavonte David,OLB,TAM,"$9,750,000",2019
64.0,Kelechi Osemele,T,NYJ,"$9,700,000",2019
65.0,D.J. Humphries,OT,ARI,"$9,625,000",2019
,Andrus Peat,OT,NOR,"$9,625,000",2019
67.0,Julio Jones,WR,ATL,"$9,600,000",2019
68.0,Jimmy Smith,CB,BAL,"$9,500,000",2019
,Logan Ryan,CB,TEN,"$9,500,000",2019
,Desmond Trufant,CB,ATL,"$9,500,000",2019
71.0,Danielle Hunter,DE,MIN,"$9,400,000",2019
,Riley Reiff,OT,MIN,"$9,400,000",2019
73.0,Nelson Agholor,WR,PHI,"$9,387,000",2019
74.0,Brandon Williams,DT,BAL,"$9,250,000",2019
75.0,Shaq Thompson,OLB,CAR,"$9,232,000",2019
,Bud Dupree,DE,PIT,"$9,232,000",2019
77.0,Dre Kirkpatrick,CB,CIN,"$9,150,000",2019
78.0,Aaron Donald,DT,LAR,"$9,108,000",2019
79.0,Damarious Randall,FS,CLE,"$9,069,000",2019
,Marcus Peters,CB,2TM,"$9,069,000",2019
,Trae Waynes,CB,MIN,"$9,069,000",2019
82.0,Arik Armstead,DE,SFO,"$9,046,000",2019
83.0,Ricky Wagner,OT,DET,"$9,000,000",2019
,Devin McCourty,DB,NWE,"$9,000,000",2019
85.0,Stefon Diggs,WR,MIN,"$8,900,000",2019
,Linval Joseph,DT,MIN,"$8,900,000",2019
87.0,Cameron Heyward,DE,PIT,"$8,750,000",2019
88.0,Alex Mack,C,ATL,"$8,500,000",2019
,David Bakhtiari,OT,GNB,"$8,500,000",2019
